purchase_datetime,product_title,sku,currency,price,quantity,total_price,session_id,trip_duration_mins,group_size
2/28/2024 7:57,Snickers 1 86z,40000424314,,,1,,10882358-1e4d-4b0e-8012-41e45fff78f5,1.7833,1
2/28/2024 7:58,Naked Power C Machine,82592917157,,,1,,454ce055-5cfc-465b-ba4a-b7b512609994,1.4,1
2/28/2024 8:08,Smartwater Alkln Antx 1 Liter,7.86E+11,,,1,,fce530b3-4983-4065-81f1-ec7618e272e6,1.95,1
2/28/2024 8:08,Smartwater Strawberry Blkbry,7.86E+11,,,1,,fce530b3-4983-4065-81f1-ec7618e272e6,1.95,1
2/28/2024 8:08,Xochitl No Salt,8.54E+11,,,1,,fce530b3-4983-4065-81f1-ec7618e272e6,1.95,1
2/28/2024 8:09,Minute Maid Orange Juice,25000061530,,,1,,fe8ba1b1-49ec-4df6-9004-75d7a1e11794,0.85,1
2/28/2024 8:11,Clif Wht Choc Macadamia,7.22E+11,,,1,,bca58e7e-c4fb-4f49-b303-0894b4a7672c,2.4333,1
2/28/2024 8:11,Gat Frost Glacier Freeze,52000324860,,,1,,bca58e7e-c4fb-4f49-b303-0894b4a7672c,2.4333,1
2/28/2024 8:12,Kind Drk Choc Almond & Coconut,6.03E+11,,,1,,3662b0f7-1ce7-4b2d-a692-0b2b40fd9c64,0.3666,2
2/28/2024 8:13,Quaker Oatmeal Cup Apple Cinn,30000319567,,,1,,73104cdc-ef9d-47e1-b9f7-4ce16e4ab200,1.4833,1
2/28/2024 8:13,Celsius Fit Sprklng Watermelon,8.89E+11,,,1,,c824b1f4-cb2d-4022-8d38-9fd06208bfc3,1.8833,1
2/28/2024 8:13,Fairlife Milk Lowfat,8.12E+11,,,1,,80d23342-dc48-4e91-9d57-88932f8c08d1,1.75,1
2/28/2024 8:13,Nat Bak Fig Bar Blueberry,47495112900,,,1,,c824b1f4-cb2d-4022-8d38-9fd06208bfc3,1.8833,1
2/28/2024 8:15,Alta Dena Milk 2% 16oz,70399105754,,,1,,c9a52748-49ae-4982-9d16-0ed43f45330e,2.1666,1
2/28/2024 8:15,Post Honey Bunches Oats,8.85E+11,,,1,,c9a52748-49ae-4982-9d16-0ed43f45330e,2.1666,1
2/28/2024 8:15,Calpico Mango,8.50E+11,,,1,,35b6effd-49b8-4091-a14e-f64fe14ce1f0,2.9833,1
2/28/2024 8:15,J Dean Crois Spcy Smkd Ssg Chz,77900513299,,,1,,35b6effd-49b8-4091-a14e-f64fe14ce1f0,2.9833,1
2/28/2024 8:16,Alta Dena Milk Whole 16oz,70399100551,,,1,,768adbf6-6422-459a-86fd-380993e29d9b,1.1833,1
2/28/2024 8:16,Kell Raisin Bran,38000116308,,,1,,768adbf6-6422-459a-86fd-380993e29d9b,1.1833,1
2/28/2024 8:16,Yoplait Mixed Berry,70470003108,,,1,,768adbf6-6422-459a-86fd-380993e29d9b,1.1833,1
2/28/2024 8:16,Pineapple,99999102680,,,1,,ddf1f0d0-10ba-43a4-91bf-da7417f63d04,1.4333,1
2/28/2024 8:16,Starbucks Dbl Mocha 15 Oz,12000028458,,,1,,ddf1f0d0-10ba-43a4-91bf-da7417f63d04,1.4333,1
2/28/2024 8:16,J Dean Crois Spcy Smkd Ssg Chz,77900513299,,,1,,05b91111-e6b3-485c-92ee-a7e9da1ca0ac,2.6666,2
2/28/2024 8:16,Lipton Pureleaf Lemon,12000286186,,,1,,05b91111-e6b3-485c-92ee-a7e9da1ca0ac,2.6666,2
2/28/2024 8:16,Banana,99990000329,,,1,,f74a306f-7404-49f2-8cc6-d6a62429c552,2.9666,2
2/28/2024 8:16,Strawberries,99990003580,,,1,,32b4f6e8-3951-4c8a-8ec8-3006aff96717,3.2666,2
2/28/2024 8:16,Vanilla Yogurt Parfait,99999102352,,,1,,f74a306f-7404-49f2-8cc6-d6a62429c552,2.9666,2
2/28/2024 8:19,Banana,99990000329,,,1,,01cc61a1-035a-42d3-a339-f9953f8f8cc5,1.2833,1
2/28/2024 8:19,Clif Builders Choc Mint,7.22E+11,,,2,,01cc61a1-035a-42d3-a339-f9953f8f8cc5,1.2833,1
2/28/2024 8:19,Clif Wht Choc Macadamia,7.22E+11,,,1,,a9e56de2-3a8b-4b14-86be-303369b296df,1.9333,1
2/28/2024 8:22,Guayaki Mate Bluephoria,6.32E+11,,,1,,de507237-1572-4c9d-a0b4-8520a3aaf955,1.0166,1
2/28/2024 8:22,Nutri Grain Strawberry,38000359217,,,1,,de507237-1572-4c9d-a0b4-8520a3aaf955,1.0166,1
2/28/2024 8:22,Vanilla Yogurt Parfait,99999102352,,,1,,f178784a-8393-4c1e-9272-36baeb35e122,0.4666,1
2/28/2024 8:24,Celsius Fit Sprklng Watermelon,8.89E+11,,,1,,76d6ff23-10e3-461b-b557-c0947c1a2eb4,1.5333,1
2/28/2024 8:26,Bic Pen Atlantis Rtrctbl Blk,70330143678,,,1,,dac1c089-4189-4147-ba9f-1eeaf827b6e5,0.3666,1
2/28/2024 8:26,Bakerly Crepes Chocolate Pk,8.52E+11,,,1,,73378fbe-ef21-47f1-a73b-9e4a03469fce,0.75,1
2/28/2024 8:26,Guayaki Mate Orange Exuberance,6.32E+11,,,1,,d17be7e1-6a9e-4f62-a59b-791062ed080c,1.4833,1
2/28/2024 8:29,Chino Veg A Fed Egg L White Dz,95437000600,,,1,,0a284ea8-e451-419e-8c01-d7c18aa7d697,1.9166,1
